@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 0.30268,1 -0.259182,2 -0.50124,3 -0.248927,4 -0.95346,5 -0.461542,6 -0.52662,7 0.336646,8 -0.180058,9 -0.241461,10 3}
{0 0.358686,1 -0.304667,2 -0.402541,3 -0.173799,4 -0.957952,5 -0.568003,6 -0.455776,7 0.176151,8 -0.280437,9 -0.348702,10 3}
{0 -0.760317,1 -0.028145,2 -0.254692,3 0.031261,4 -0.942971,5 -0.400854,6 -0.754836,7 0.68565,8 0.020976,9 -0.024068,10 4}
{0 -0.748988,1 -0.044802,2 -0.156534,3 0.084888,4 -0.945502,5 0.053976,6 -0.695419,7 0.625579,8 -0.024924,9 -0.06194,10 4}
{0 -0.745602,1 -0.087461,2 -0.163402,3 0.059463,4 -0.948186,5 0.226371,6 -0.717073,7 0.649063,8 -0.023742,9 -0.052312,10 4}
{0 -0.798491,1 0.010225,2 -0.133244,3 0.130204,4 -0.941899,5 -0.23895,6 -0.653116,7 0.574632,8 -0.061343,9 -0.109663,10 4}
{0 -0.792017,1 -0.035013,2 -0.143198,3 0.098701,4 -0.943096,5 -0.291698,6 -0.690134,7 0.599445,8 -0.047619,9 -0.109459,10 4}
{0 -0.790991,1 -0.003513,2 -0.147638,3 0.113396,4 -0.942249,5 -0.130605,6 -0.682203,7 0.603794,8 -0.012922,9 -0.075294,10 4}
{0 -0.766292,1 -0.062889,2 -0.181498,3 0.060125,4 -0.944397,5 -0.305457,6 -0.714468,7 0.612049,8 -0.06932,9 -0.137586,10 4}
{0 -0.799364,1 0.007379,2 -0.084509,3 0.157992,4 -0.940107,5 -0.193607,6 -0.654646,7 0.550582,8 -0.04858,9 -0.110841,10 4}
{0 -0.803777,1 0.025386,2 -0.098722,3 0.160192,4 -0.939567,5 -0.291698,6 -0.636041,7 0.544988,8 -0.061809,9 -0.119826,10 4}
{0 -0.780556,1 -0.127544,2 -0.219247,3 0.005725,4 -0.949137,5 -0.130605,6 -0.715659,7 0.642688,8 -0.099227,9 -0.164286,10 4}
{0 -0.794027,1 -0.022267,2 -0.099315,3 0.132554,4 -0.941601,5 -0.091581,6 -0.648723,7 0.565442,8 -0.062428,9 -0.122985,10 4}
{0 -0.821031,1 -0.091847,2 -0.157359,3 0.061493,4 -0.947744,5 -0.092809,6 -0.684044,7 0.613407,8 -0.09298,9 -0.151522,10 4}
{0 -0.803578,1 -0.029037,2 -0.170709,3 0.084603,4 -0.943758,5 -0.126063,6 -0.675109,7 0.599408,8 -0.066034,9 -0.137081,10 4}
{0 -0.769214,1 -0.155699,2 -0.304017,3 -0.063986,4 -0.950369,5 0.083915,6 -0.755213,7 0.676141,8 -0.116911,9 -0.193036,10 4}
{0 -0.798628,1 -0.153167,2 -0.267822,3 -0.037531,4 -0.95056,5 0.117788,6 -0.766128,7 0.695208,8 -0.054102,9 -0.122041,10 4}
